Voter ID,Age,2020 marriage,Zip,Outcome,Swing Voter,Party_1,Party_2,Party_3,Sex_0,Sex_1,Ethnicity_2,Ethnicity_3
8663131,2,19,85202,0,Low_Chance,1,0,0,0,1,0,1
8663343,2,5,85210,1,High_Chance,0,0,1,0,1,0,1
8663839,2,7,85201,0,Low_Chance,1,0,0,1,0,1,0
8664184,4,67,85204,0,High_Chance,0,0,1,1,0,0,1
8664702,1,1,85204,1,Low_Chance,0,0,1,0,1,0,1
8664862,2,4,85210,0,High_Chance,1,0,0,1,0,0,1
8665158,6,58,85213,0,Low_Chance,0,1,0,0,1,0,1
8666056,2,4,85203,0,Low_Chance,0,0,1,0,1,0,1
8667273,2,5,85204,1,Low_Chance,1,0,0,0,1,0,1
8714898,2,21,85202,0,Low_Chance,0,1,0,0,1,0,1
8762879,1,3,85203,1,High_Chance,0,0,1,1,0,0,1
8763087,2,6,85203,1,Low_Chance,0,0,1,1,0,0,1
8763240,1,10,85201,1,High_Chance,0,0,1,1,0,0,1
8764811,3,93,85204,0,Low_Chance,0,0,1,1,0,0,1
8539019,5,28,85210,0,Low_Chance,0,0,1,1,0,0,1
8568376,2,9,85282,1,Low_Chance,1,0,0,0,1,0,1
8568476,2,2,85201,0,Low_Chance,0,0,1,0,1,0,1
8569446,3,60,85213,0,Low_Chance,0,1,0,0,1,1,0
8570709,3,39,85202,0,Low_Chance,0,0,1,0,1,0,1
8570827,6,92,85202,0,Low_Chance,1,0,0,0,1,0,1
8571043,3,98,85210,0,Low_Chance,0,1,0,0,1,0,1
8571114,4,51,85202,0,Low_Chance,0,0,1,1,0,0,1
8571294,3,90,85224,0,Low_Chance,0,0,1,1,0,0,1
8571382,4,56,85202,0,Low_Chance,1,0,0,1,0,0,1
8571447,2,6,85202,0,Low_Chance,1,0,0,1,0,0,1
8572577,2,2,85203,0,Low_Chance,0,0,1,1,0,0,1
8601930,5,51,85203,0,High_Chance,0,0,1,1,0,0,1
8602512,1,7,85203,0,Low_Chance,1,0,0,0,1,1,0
8602781,3,60,85210,0,Low_Chance,0,0,1,0,1,1,0
8602878,1,1,85202,0,Low_Chance,0,1,0,0,1,0,1
8603098,6,14,85203,0,Low_Chance,0,0,1,0,1,0,1
8603139,2,44,85204,0,Low_Chance,0,1,0,0,1,0,1
8603176,2,5,85210,1,Low_Chance,0,0,1,0,1,0,1
8603196,2,2,85234,0,Low_Chance,1,0,0,1,0,0,1
8603513,2,7,85201,0,Low_Chance,0,0,1,0,1,0,1
8603540,5,41,85210,0,High_Chance,0,0,1,1,0,0,1
8603783,2,2,85210,0,Low_Chance,0,0,1,0,1,0,1
8603867,6,91,85210,0,Low_Chance,1,0,0,0,1,1,0
8603958,2,1,85204,1,Low_Chance,0,1,0,0,1,1,0
8604198,2,5,85202,0,Low_Chance,0,0,1,0,1,0,1
8604727,3,77,85204,0,Low_Chance,0,1,0,0,1,1,0
8604734,3,77,85204,0,Low_Chance,1,0,0,0,1,1,0
8605195,2,8,85204,0,Low_Chance,1,0,0,1,0,0,1
8605260,4,67,85210,0,Low_Chance,0,0,1,0,1,0,1
8605808,2,6,85213,0,High_Chance,1,0,0,0,1,0,1
8605822,2,1,85204,0,Low_Chance,0,1,0,1,0,0,1
8605859,1,1,85204,0,Low_Chance,0,0,1,1,0,0,1
8606727,1,6,85213,0,Low_Chance,0,1,0,1,0,0,1
8607387,2,3,85213,1,High_Chance,0,0,1,0,1,1,0
8607738,5,41,85210,0,Low_Chance,0,0,1,1,0,0,1
8607964,5,57,85204,1,Low_Chance,1,0,0,1,0,0,1
8608327,1,1,85202,0,Low_Chance,0,0,1,1,0,1,0
8608454,3,28,85202,0,Low_Chance,0,0,1,0,1,0,1
8616686,5,95,85204,1,High_Chance,0,0,1,1,0,1,0
8616798,5,94,85202,0,Low_Chance,0,1,0,0,1,0,1
8617179,3,54,85203,1,Low_Chance,0,0,1,0,1,0,1
8617199,1,5,85234,0,Low_Chance,0,1,0,0,1,0,1
8617458,1,4,85204,0,Low_Chance,1,0,0,1,0,1,0
8617468,2,2,85224,0,Low_Chance,0,0,1,1,0,1,0
8617653,2,6,85203,0,High_Chance,0,0,1,1,0,1,0
8617695,1,6,85204,0,Low_Chance,1,0,0,1,0,1,0
8617987,2,5,85210,0,Low_Chance,0,0,1,1,0,1,0
8619177,4,79,85202,0,Low_Chance,0,1,0,1,0,0,1
8619206,2,5,85225,1,Low_Chance,0,0,1,0,1,0,1
8619611,2,9,85204,0,Low_Chance,1,0,0,0,1,1,0
8619659,2,3,85202,0,Low_Chance,1,0,0,0,1,1,0
8619992,3,13,85202,1,High_Chance,0,0,1,1,0,0,1
8621495,2,24,85213,0,High_Chance,0,0,1,1,0,0,1
8621696,3,32,85203,0,Low_Chance,1,0,0,1,0,0,1
8622297,5,52,85202,1,High_Chance,0,0,1,1,0,0,1
8799117,6,55,85204,0,Low_Chance,1,0,0,0,1,0,1
8799139,2,36,85203,0,Low_Chance,1,0,0,1,0,0,1
8896083,2,0,85281,0,Low_Chance,0,0,1,1,0,1,0
8896218,2,12,85203,0,Low_Chance,0,1,0,1,0,0,1
8897513,3,94,85202,0,High_Chance,0,0,1,1,0,1,0
8898640,1,3,85203,0,Low_Chance,0,1,0,0,1,1,0
8898780,1,4,85202,0,Low_Chance,1,0,0,0,1,0,1
8899616,3,86,85204,0,Low_Chance,0,1,0,1,0,0,1
